kid pa ma
M1_686 0 0
F1_748 0 0
M1_687 0 0
M1_688 0 0
F1_749 0 0
M1_689 0 0
F1_750 0 0
F1_751 0 0
F1_752 0 0
F1_753 0 0
M1_690 0 0
M1_691 0 0
F1_754 0 0
M1_692 0 0
M1_693 0 0
F1_755 0 0
F1_756 0 0
M1_694 0 0
F1_757 0 0
M1_695 0 0
F1_758 0 0
M1_696 0 0
F1_759 0 0
M1_697 0 0
F1_760 0 0
F1_761 0 0
F1_762 0 0
F1_763 0 0
M1_698 0 0
M1_699 0 0
F1_764 0 0
M1_700 0 0
M1_701 0 0
M1_702 0 0
M1_703 0 0
M1_704 0 0
F1_765 0 0
F1_766 0 0
F1_767 0 0
F1_768 0 0
F1_769 0 0
F1_770 0 0
M1_705 0 0
M1_706 0 0
M1_707 0 0
F1_771 0 0
F1_772 0 0
M1_708 0 0
M1_709 0 0
F1_773 0 0
M1_710 0 0
M1_711 0 0
F1_774 0 0
M1_712 0 0
M1_713 0 0
M1_714 0 0
F1_775 0 0
M1_715 0 0
M1_716 0 0
M1_717 0 0
F1_776 0 0
F1_777 0 0
F1_778 0 0
M1_718 0 0
F1_779 0 0
M1_719 0 0
F1_780 0 0
F1_781 0 0
M1_720 0 0
F1_782 0 0
M1_721 0 0
M1_722 0 0
F1_783 0 0
F1_784 0 0
M1_723 0 0
M1_724 0 0
M1_725 0 0
F1_785 0 0
F1_786 0 0
F1_787 0 0
F1_788 0 0
F1_789 0 0
F1_790 0 0
F1_791 0 0
F1_792 0 0
M1_726 0 0
F1_793 0 0
F1_794 0 0
F1_795 0 0
M1_727 0 0
M1_728 0 0
M1_729 0 0
F1_796 0 0
F1_797 0 0
F1_798 0 0
M1_730 0 0
M1_731 0 0
M1_732 0 0
M1_733 0 0
F1_799 0 0
M1_734 0 0
F1_800 0 0
M1_735 0 0
F1_801 0 0
F1_802 0 0
M1_736 0 0
M1_737 0 0
M1_738 0 0
M1_739 0 0
M1_740 0 0
F1_803 0 0
M1_741 0 0
M1_742 0 0
F1_804 0 0
F1_805 0 0
F1_806 0 0
M1_743 0 0
